Virtual address: 10111011101010, Physical address: 100111011101010, Value: 44785165270146868450876352322450807252009696102926300076053145771796529888795698534011604102627065132785706411106095545582101007593312308910272478424023265696553293481232510930738625743297192341558333571107509651014805155387863753537265393920727851107379790905447682379211564077312132354863015878482982791302638912105283746481243327226199546422845812932709383697571552940926100243012850596940321062677567548211011130347532898086100229436216984748860937010044159254566144156731950381092898031918855333743939484178043488736357099956319500436066464201811395528593279792744913629862663323018280630149618513397946239
Virtual address: 1110001101011, Physical address: 100111101101011, Value: 26967411345465477998497406326595337939912958676690260206956853160241641816280313842335861565340466520393971276493608464894778773613795475091595229369182783045182157113646094013618778786948553558991523714248408235743273041487163240149250734453219246557147159302225667543925657735813612554194153257696607943501639966089622727378609620141222802597880453132070265994225166038742280465094463904333896373266196509492301992050050779954443328070068095947688364647502706150545282544700694562967006571111032494670097645102760131844069303960084818799149747332140752876920364118842002640688270981728863038223033130318564927
Virtual address: 1110010010011111, Physical address: 101000010011111, Value: 0
Virtual address: 1110111101001001, Physical address: 101000101001001, Value: 0
Virtual address: 1100001000110011, Physical address: 101001000110011, Value: 0
Virtual address: 1000010010000011, Physical address: 101001110000011, Value: 0
Virtual address: 10110011000110, Physical address: 101010011000110, Value: 42858921602613745158727277079655621380431670435225106576691384408385190637712954243019631936433919336851464774931772617940228333649580759308253316364040510815323981441493438831590534180448690851551110883879498687201666548479679914252074619924240434399246533434829086180802276905258238322358273973533104429378206593617104176848526169703499357901227936197505154756669240843392714321075727711253140015173635544025204737018075371801596780639876564337923361619499137297374699658133976779133342198318009621411632258332066909612866527416186021340183575891576731458142153773944598928330296583419424674265663336848823935
Virtual address: 1111011100101000, Physical address: 101010100101000, Value: 0
Virtual address: 1010110000011000, Physical address: 101011000011000, Value: 0
Virtual address: 111010111100011, Physical address: 101011111100011, Value: 113166815467572745322168523441679905693029607306318669303395674172899073302233120864226616002483740888451284495294559476868580932595782319781952731553411063980193870891969570450495876224418995236814738967701898866381225700628390048161537870796031144246110431112407847422741258685225370508781353504203664639619986218435658468442702419282056238940280437032459511099603632403361300471780713038835248249067153696807138093543275081185972661706301909337144863374392438734862423856960013250657130124748878121540846001710212047620272425131058008339908999215141970029608253460156085534261682578777667064030027280891788031
Virtual address: 1001110100100, Physical address: 101100010100100, Value: 18780875758449704006863836544715797985706349588960187834669367365743449999178650605619979859019596887673444322752736022416819909352936389283013790614256074799957580944755037592239389644842422226460827293529361639537433962127381923187189944968147725547580815052096633700686187254584562916049000161659624905322802612514859556439561700669747001381004477007452292995390339624225390296861691640163376921374485491702624820399856293245303670685621309201203669237686362832481643425659306754638894278307438217257791935257359670569234370664517532641647472013643430577503078538940665159175712338433725225716223629984795135
Virtual address: 1100001001111000, Physical address: 101001001111000, Value: 0
Virtual address: 1101000001010010, Physical address: 101100101010010, Value: 0
Virtual address: 101100000111011, Physical address: 101101000111011, Value: 84754721371459176762969663610450914087253728707726065187809694062581819348762642572095026551134840398421220361723296294150958991925741963152170091168665429482061518305818256988061525672403598259208204331088737150137431248732678418704973954347841747801144883420783553496204272897430433529336410406192958801234609520735009816360124345822228458246416755188197134221294528964743858123208150474949327798384156635066493791933776568489546791960280708275815626363853364866288617502639902621753681579136403864639314420482057505548786480164089191675636396639180674990454144682851443686659273169694541714741688426792234047
Virtual address: 111010100100101, Physical address: 101101100100101, Value: 112685254550689464499131254630981109225135100889393370928555233832046238489462434791478622960935454439467724086250978744958112764109849432381447941038415375259886542882034802425708853333706869864312933295894896125427941048901344088340240177296909290069077116744753198373138936892211897000655168027966195049138878138813613576034523129901381191809875967848658453864378054378977953991296432317413452987191170695760686495210910699614846799507216804234410469526756183245564562732310519850167241166348666693457769195248717902839399781996024638565938277137583304011995471955456006858878590893877953075059038486754507455
